latency,bram,latency_bram_product,design_name,optimizer_name
65289,48,3133872,k15mmseq__opt5,grouped_discrete_simulated_annealing
65290,40,2611600,k15mmseq__opt5,grouped_discrete_simulated_annealing
62202,176,10947552,k15mmseq__opt5,grouped_discrete_simulated_annealing
62265,152,9464280,k15mmseq__opt5,grouped_discrete_simulated_annealing
62547,120,7505640,k15mmseq__opt5,grouped_discrete_simulated_annealing
62203,168,10450104,k15mmseq__opt5,grouped_discrete_simulated_annealing
61796,184,11370464,k15mmseq__opt5,grouped_discrete_simulated_annealing
63296,56,3544576,k15mmseq__opt5,grouped_discrete_simulated_annealing
26626,48,1278048,k15mmseq_imbalanced__opt5,random_search
20135,62,1248370,k15mmseq_imbalanced__opt5,random_search
26443,50,1322150,k15mmseq_imbalanced__opt5,random_search
29704,42,1247568,k15mmseq_imbalanced__opt5,random_search
19476,66,1285416,k15mmseq_imbalanced__opt5,random_search
35633,28,997724,k15mmseq_imbalanced__opt5,random_search
22021,60,1321260,k15mmseq_imbalanced__opt5,random_search
27936,46,1285056,k15mmseq_imbalanced__opt5,random_search
24570,52,1277640,k15mmseq_imbalanced__opt5,random_search
31586,34,1073924,k15mmseq_imbalanced__opt5,random_search
17306,74,1280644,k15mmseq_imbalanced__opt5,random_search
28821,10,288210,k15mmseq_imbalanced__opt5,group_random_search
25945,16,415120,k15mmseq_imbalanced__opt5,group_random_search
11596,82,950872,k15mmseq_imbalanced__opt5,group_random_search
15223,54,822042,k15mmseq_imbalanced__opt5,group_random_search
24240,18,436320,k15mmseq_imbalanced__opt5,group_random_search
34668,2,69336,k15mmseq_imbalanced__opt5,group_random_search
16598,32,531136,k15mmseq_imbalanced__opt5,group_random_search
23069,20,461380,k15mmseq_imbalanced__opt5,group_random_search
12403,68,843404,k15mmseq_imbalanced__opt5,group_random_search
12632,64,808448,k15mmseq_imbalanced__opt5,group_random_search
16020,40,640800,k15mmseq_imbalanced__opt5,group_random_search
11789,76,895964,k15mmseq_imbalanced__opt5,group_random_search
13216,60,792960,k15mmseq_imbalanced__opt5,group_random_search
32751,8,262008,k15mmseq_imbalanced__opt5,group_random_search
