stream_name,depth
StreamingMemory_22_out0_stream_8,2
StreamingMemory_22_out1_stream_0,2
StreamingLineBuffer_5_out0_stream_0,1313
StreamingLineBuffer_5_out0_stream_1,1313
StreamingMemory_23_out0_stream_0,2
StreamingMemory_23_out1_stream_0,2
StreamingConv_5_out0_stream_0,4
StreamingConv_5_out0_stream_1,4
StreamingMemory_24_out0_stream_0,2
StreamingMemory_24_out1_stream_0,2
StreamingSwish_5_out0_stream_0,9
StreamingSwish_5_out0_stream_1,9
StreamingMemory_25_out0_stream_0,2
StreamingMemory_25_out1_stream_0,2
BandwidthAdjustDecreaseChannels_0_out0_stream_0,3
BandwidthAdjustDecreaseChannels_0_out0_stream_1,3
StreamingMemory_26_out0_stream_0,2
StreamingMemory_26_out1_stream_0,2
StreamingLineBuffer_6_out0_stream_0,10
StreamingLineBuffer_6_out0_stream_1,10
StreamingLineBuffer_6_out0_stream_2,10
StreamingLineBuffer_6_out0_stream_3,10
StreamingLineBuffer_6_out0_stream_4,10
StreamingLineBuffer_6_out0_stream_5,10
StreamingLineBuffer_6_out0_stream_6,10
StreamingLineBuffer_6_out0_stream_7,10
StreamingLineBuffer_6_out0_stream_8,10
StreamingLineBuffer_6_out0_stream_9,10
StreamingLineBuffer_6_out0_stream_10,10
StreamingLineBuffer_6_out0_stream_11,10
StreamingLineBuffer_6_out0_stream_12,10
StreamingLineBuffer_6_out0_stream_13,10
StreamingLineBuffer_6_out0_stream_14,10
StreamingLineBuffer_6_out0_stream_prepad_0,324
StreamingLineBuffer_6_out0_stream_prepad_1,391
StreamingLineBuffer_6_out0_stream_prepad_2,305
StreamingLineBuffer_6_out0_stream_prepad_3,372
StreamingLineBuffer_6_out0_stream_prepad_4,306
StreamingLineBuffer_6_out0_stream_prepad_5,327
StreamingLineBuffer_6_out0_stream_prepad_6,361
StreamingLineBuffer_6_out0_stream_prepad_7,328
StreamingLineBuffer_6_out0_stream_prepad_8,362
StreamingLineBuffer_6_out0_stream_prepad_9,329
StreamingLineBuffer_6_out0_stream_prepad_10,342
StreamingLineBuffer_6_out0_stream_prepad_11,343
StreamingLineBuffer_6_out0_stream_prepad_12,343
StreamingLineBuffer_6_out0_stream_prepad_13,344
StreamingLineBuffer_6_out0_stream_prepad_14,344
StreamingLineBuffer_6_buffer_stream_0,33
StreamingLineBuffer_6_buffer_stream_1,33
StreamingLineBuffer_6_buffer_stream_2,33
StreamingLineBuffer_6_buffer_stream_3,2529
StreamingLineBuffer_6_buffer_stream_4,2497
StreamingLineBuffer_6_buffer_stream_5,33
StreamingLineBuffer_6_buffer_stream_6,33
StreamingLineBuffer_6_buffer_stream_7,33
StreamingLineBuffer_6_buffer_stream_8,2529
StreamingLineBuffer_6_buffer_stream_9,2497
StreamingLineBuffer_6_buffer_stream_10,33
StreamingLineBuffer_6_buffer_stream_11,33
StreamingLineBuffer_6_buffer_stream_12,33
StreamingMemory_27_out0_stream_0,2
StreamingMemory_27_out1_stream_0,2
StreamingConv_6_out0_stream_0,4
StreamingConv_6_out0_stream_1,4
StreamingMemory_28_out0_stream_0,2
StreamingMemory_28_out0_stream_1,2
StreamingMemory_28_out0_stream_2,2
StreamingMemory_28_out0_stream_3,2
StreamingMemory_28_out0_stream_4,2
StreamingMemory_28_out0_stream_5,2
StreamingMemory_28_out0_stream_6,2
StreamingMemory_28_out0_stream_7,2
StreamingMemory_28_out0_stream_8,2
StreamingMemory_28_out1_stream_0,2
StreamingSwish_6_out0_stream_0,2
StreamingSwish_6_out0_stream_1,2
StreamingMemory_29_out0_stream_0,2
StreamingMemory_29_out1_stream_0,2
StreamingLineBuffer_7_out0_stream_0,65
StreamingLineBuffer_7_out0_stream_1,65
StreamingMemory_30_out0_stream_0,2
StreamingMemory_30_out1_stream_0,2
StreamingConv_7_out0_stream_0,4
StreamingConv_7_out0_stream_1,4
StreamingMemory_31_out0_stream_0,2
StreamingMemory_31_out1_stream_0,2
StreamingSwish_7_out0_stream_0,3
StreamingSwish_7_out0_stream_1,3
StreamingMemory_32_out0_stream_0,2
StreamingMemory_32_out0_stream_1,2
StreamingMemory_32_out0_stream_2,2
StreamingMemory_32_out0_stream_3,2
StreamingMemory_32_out0_stream_4,2
StreamingMemory_32_out0_stream_5,2
StreamingMemory_32_out0_stream_6,2
StreamingMemory_32_out0_stream_7,2
StreamingMemory_32_out0_stream_8,2
StreamingMemory_32_out1_stream_0,2
BandwidthAdjustIncreaseChannels_1_out0_stream_0,2
BandwidthAdjustIncreaseChannels_1_out0_stream_1,2
StreamingMemory_33_out0_stream_0,2
StreamingMemory_33_out1_stream_0,2
StreamingSplit_1_out0_stream_0,2
StreamingSplit_1_out0_stream_1,2
StreamingSplit_1_out1_stream_0,3
StreamingSplit_1_out1_stream_1,3
StreamingMemory_34_out0_stream_0,2
StreamingMemory_34_out0_stream_1,2
StreamingMemory_34_out0_stream_2,2
StreamingMemory_34_out0_stream_3,2
StreamingMemory_34_out0_stream_4,2
StreamingMemory_34_out0_stream_5,2
StreamingMemory_34_out0_stream_6,2
StreamingMemory_34_out0_stream_7,2
StreamingMemory_34_out0_stream_8,2
StreamingMemory_34_out1_stream_0,2
TensorDuplicator_2_out0_stream_0,4
TensorDuplicator_2_out0_stream_1,4
TensorDuplicator_2_out1_stream_0,6
TensorDuplicator_2_out1_stream_1,6
StreamingMemory_35_out0_stream_0,2
StreamingMemory_35_out1_stream_0,2
TensorDuplicator_3_out0_stream_0,6
TensorDuplicator_3_out0_stream_1,6
TensorDuplicator_3_out1_stream_0,3
TensorDuplicator_3_out1_stream_1,3
BandwidthAdjustDecreaseChannels_1_out0_stream_0,2722
BandwidthAdjustDecreaseChannels_1_out0_stream_1,2722
StreamingMemory_36_out0_stream_0,2
StreamingMemory_36_out0_stream_1,2
StreamingMemory_36_out0_stream_2,2
StreamingMemory_36_out0_stream_3,2
StreamingMemory_36_out0_stream_4,2
StreamingMemory_36_out0_stream_5,2
StreamingMemory_36_out0_stream_6,2
StreamingMemory_36_out0_stream_7,2
StreamingMemory_36_out0_stream_8,2
StreamingMemory_36_out1_stream_0,2
StreamingConcat_2_out0_stream_0,9
StreamingConcat_2_out0_stream_1,9
BandwidthAdjustDecreaseChannels_2_out0_stream_0,2
BandwidthAdjustDecreaseChannels_2_out0_stream_1,2
StreamingMemory_37_out0_stream_0,2
StreamingMemory_37_out1_stream_0,2
BandwidthAdjustDecreaseChannels_3_out0_stream_0,10753
BandwidthAdjustDecreaseChannels_3_out0_stream_1,10753
StreamingLineBuffer_8_out0_stream_0,10
StreamingLineBuffer_8_out0_stream_1,10
StreamingLineBuffer_8_out0_stream_2,10
StreamingLineBuffer_8_out0_stream_3,10
StreamingLineBuffer_8_out0_stream_4,10
StreamingLineBuffer_8_out0_stream_5,10
StreamingLineBuffer_8_out0_stream_6,10
StreamingLineBuffer_8_out0_stream_7,10
StreamingLineBuffer_8_out0_stream_8,10
StreamingLineBuffer_8_out0_stream_9,10
StreamingLineBuffer_8_out0_stream_10,10
StreamingLineBuffer_8_out0_stream_11,10
StreamingLineBuffer_8_out0_stream_prepad_0,96
StreamingLineBuffer_8_out0_stream_prepad_1,64
StreamingLineBuffer_8_out0_stream_prepad_2,65
StreamingLineBuffer_8_out0_stream_prepad_3,33
StreamingLineBuffer_8_out0_stream_prepad_4,66
StreamingLineBuffer_8_out0_stream_prepad_5,33
StreamingLineBuffer_8_out0_stream_prepad_6,66
StreamingLineBuffer_8_out0_stream_prepad_7,34
StreamingLineBuffer_8_out0_stream_prepad_8,67
StreamingLineBuffer_8_out0_stream_prepad_9,35
StreamingLineBuffer_8_out0_stream_prepad_10,68
StreamingLineBuffer_8_out0_stream_prepad_11,36
StreamingLineBuffer_8_buffer_stream_0,33
StreamingLineBuffer_8_buffer_stream_1,33
StreamingLineBuffer_8_buffer_stream_2,1249
StreamingLineBuffer_8_buffer_stream_3,1249
StreamingLineBuffer_8_buffer_stream_4,33
StreamingLineBuffer_8_buffer_stream_5,33
StreamingLineBuffer_8_buffer_stream_6,1249
StreamingLineBuffer_8_buffer_stream_7,1249
StreamingLineBuffer_8_buffer_stream_8,33
StreamingLineBuffer_8_buffer_stream_9,33
StreamingMemory_38_out0_stream_0,2
StreamingMemory_38_out0_stream_1,2
StreamingMemory_38_out0_stream_2,2
StreamingMemory_38_out0_stream_3,2
